Time,Open,High,Low,Close,Volume,Hold,Settle
2010/11/11,4785,4852,4743,4793,2438760,1046000,4805
2010/11/12,4795,4795,4571,4637,4421772,879838,4657
2010/11/15,4590,4694,4590,4667,2758100,870998,4652
2010/11/16,4678,4687,4632,4646,1799372,1799300,4659
2010/11/17,4529,4574,4491,4550,2693604,772888,4544
2010/11/18,4589,4621,4563,4611,1649710,1649700,4594
2010/11/19,4644,4666,4584,4643,1853112,694872,4632
2010/11/22,4632,4671,4622,4644,1375458,707436,4649
2010/11/23,4630,4645,4589,4607,1595300,690540,4614
2010/11/24,4615,4699,4598,4695,1584600,787876,4640
2010/11/25,4701,4738,4680,4683,1677462,758480,4711
2010/11/26,4684,4697,4630,4650,1482902,713490,4656
2010/11/29,4660,4680,4635,4668,921742,699660,4660
2010/11/30,4659,4666,4612,4634,945702,635964,4632
2010/12/1,4632,4688,4626,4678,777228,635332,4658
2010/12/2,4708,4724,4675,4685,786242,641072,4697
2010/12/3,4693,4745,4685,4728,1185750,724502,4719
2010/12/6,4737,4744,4705,4719,675060,695742,4718
2010/12/7,4723,4771,4710,4760,873766,751160,4744
2010/12/8,4740,4758,4711,4712,631582,678242,4737
2010/12/9,4735,4743,4712,4715,599348,639992,4727
2010/12/10,4708,4732,4693,4727,488184,630880,4715
2010/12/13,4730,4789,4728,4779,699028,644824,4768
2010/12/14,4770,4791,4760,4783,441076,631422,4774
2010/12/15,4778,4814,4751,4772,756702,634042,4783
2010/12/16,4765,4787,4757,4767,389226,625876,4772
2010/12/17,4767,4794,4767,4791,406692,625434,4784
2010/12/20,4810,4827,4770,4801,574278,629708,4800
2010/12/21,4811,4832,4803,4820,482044,686696,4817
2010/12/22,4830,4831,4783,4794,463926,636144,4805
2010/12/23,4798,4799,4763,4774,387802,632388,4778
2010/12/24,4776,4784,4743,4762,377644,621460,4760
2010/12/27,4736,4770,4720,4734,407238,615062,4748
2010/12/28,4738,4755,4737,4744,261366,598940,4745
2010/12/29,4747,4778,4721,4770,496128,608974,4754
2010/12/30,4766,4792,4752,4791,322462,574712,4773
2010/12/31,4778,4814,4778,4812,279364,568186,4803
2011/1/4,4830,4843,4805,4822,275428,576934,4823
2011/1/5,4800,4817,4789,4793,214902,561420,4807
2011/1/6,4806,4825,4802,4809,186136,557852,4816
2011/1/7,4800,4828,4777,4793,369032,553694,4799
2011/1/10,4801,4851,4801,4834,436038,549690,4835
2011/1/11,4834,4844,4828,4843,183264,535096,4835
2011/1/12,4860,4866,4833,4847,223236,543014,4850
2011/1/13,4860,4865,4843,4861,168582,528286,4855
2011/1/14,4866,4918,4852,4903,354032,544148,4891
2011/1/17,4905,4933,4898,4919,252814,531762,4915
2011/1/18,4916,4929,4887,4913,208070,518064,4909
2011/1/19,4923,4941,4911,4931,179098,500434,4926
2011/1/20,4921,4931,4913,4918,143046,486856,4921
2011/1/21,4902,4956,4897,4950,236038,476296,4929
2011/1/24,5060,5082,5051,5069,172504,296614,5070
2011/1/25,5070,5097,5051,5080,256550,318414,5077
2011/1/26,5060,5074,5030,5051,205176,319906,5050
2011/1/27,5059,5070,4983,5033,373962,327910,5016
2011/1/28,5011,5050,5011,5041,145966,309476,5036
2011/1/31,5051,5113,5046,5100,214662,354830,5092
2011/2/1,5115,5124,5086,5124,157314,344814,5108
2011/2/9,5124,5150,5104,5124,166064,378720,5129
2011/2/10,5120,5199,5120,5188,396576,501100,5173
2011/2/11,5190,5230,5163,5167,466606,480486,5200
2011/2/14,5180,5182,5145,5153,274470,489438,5163
2011/2/15,5162,5196,5153,5157,304650,495618,5176
2011/2/16,5140,5140,5078,5102,543684,497640,5107
2011/2/17,5105,5118,5007,5018,720920,521872,5046
2011/2/18,5038,5046,4985,4985,525722,548366,5012
2011/2/21,4990,5041,4970,5026,557856,587800,5006
2011/2/22,5030,5064,4950,5000,666140,597838,5010
2011/2/23,4957,4974,4931,4940,482982,629114,4951
2011/2/24,4955,4960,4880,4892,616964,682908,4916
2011/2/25,4905,4916,4861,4869,565278,678728,4884
2011/2/28,4882,4912,4872,4899,434022,651826,4897
2011/3/1,4911,4924,4816,4837,731978,708380,4856
2011/3/2,4828,4857,4795,4847,562724,693768,4829
2011/3/3,4845,4878,4797,4813,751100,761310,4839
2011/3/4,4820,4828,4770,4816,651168,743146,4796
2011/3/7,4818,4843,4802,4832,631320,770410,4820
2011/3/8,4802,4842,4755,4773,984616,781120,4802
2011/3/9,4771,4795,4757,4771,489862,781434,4775
2011/3/10,4751,4752,4678,4679,676322,823608,4709
2011/3/11,4672,4694,4651,4656,661172,797976,4673
2011/3/14,4695,4741,4641,4733,1037316,798722,4692
2011/3/15,4733,4781,4712,4774,1033572,772908,4743
2011/3/16,4770,4835,4755,4832,978500,734950,4792
2011/3/17,4805,4849,4795,4817,907000,718996,4821
2011/3/18,4836,4848,4741,4756,1146010,797818,4791
2011/3/21,4753,4754,4652,4653,1023590,822988,4696
2011/3/22,4642,4686,4627,4648,1033140,818008,4657
2011/3/23,4657,4737,4650,4728,1126490,791080,4696
2011/3/24,4736,4760,4684,4717,1152720,797750,4723
2011/3/25,4734,4743,4705,4730,795444,762456,4723
2011/3/28,4750,4796,4744,4779,1028210,715432,4770
2011/3/29,4780,4824,4765,4814,1028516,724372,4796
2011/3/30,4827,4833,4775,4794,938002,728002,4804
2011/3/31,4786,4818,4767,4794,771454,690710,4795
2011/4/1,4799,4801,4757,4780,608806,634050,4776
2011/4/6,4780,4876,4777,4874,864992,706736,4841
2011/4/7,4877,4888,4854,4885,689844,680534,4871
2011/4/8,4890,4915,4865,4906,663624,662366,4892
